Model,Accuracy,Precision (macro),Recall (macro),F1-Score (macro),Precision (weighted),Recall (weighted),F1-Score (weighted),n_samples
"DBSCAN-Only (core points, noise excluded)",0.8660907127429806,0.9267404033832141,0.838001179245283,0.8534039354085161,0.8938035302003426,0.8660907127429806,0.8532262479028356,463
DBSCAN + KNN Boundary Assignment (all points),0.8714285714285714,0.9287895511405445,0.8382478632478633,0.8547147365413048,0.8974050547371266,0.8714285714285714,0.8588552137840487,490
